Source,Target,Interaction
EPAS1,MMP24,+
EPAS1,PTPRZ1,?
EPAS1,SERPINE1,+
EPAS1,USF2,?
EPOR,CISH,+
ERCC2,BCL2,-
ERCC2,CDKN1A,+
ERCC2,CPD,?
ERCC2,TP53,+
ERF,ETS2,-
ERF,PRL,-
ERF,DMD,-
ESR1,ABCG2,?
ESR1,AHR,?
ESR1,AMH,+
ESR1,BCL2,+
ESR1,BLM,+
ESR1,BMP2,+
ESR1,BTG1,-
ESR1,CASPA,?
ESR1,CCNA1,+
ESR1,CCND1,+
ESR1,CDK4,?
ESR1,CDKN1A,+
ESR1,CHAT,?
ESR1,CRF1,-
ESR1,CRHBP,+
ESR1,CTSD,?
ESR1,CYP19A1,+
ESR1,CYP1B1,?
ESR1,CYP2G1,-
ESR1,ERBB4,?
ESR1,ESR1,?
ESR1,FASLG,+
ESR1,FLT1,?
ESR1,FOS,?
ESR1,GREB1,+
ESR1,HSPB1,+
ESR1,JAK2,?
ESR1,JUN,+
ESR1,JUNB,+
ESR1,KAG9270642.1,?
ESR1,KAG9270647.1,?
ESR1,KRT19,+
ESR1,KAG9280168.1,+
ESR1,KDR,+
ESR1,MMP13,?
ESR1,MTA3,?
ESR1,MYCB,?
ESR1,NR0B2,?
ESR1,NR5A2,?
ESR1,NRF1,+
ESR1,PELP1,?
ESR1,POU3F1,?
ESR1,PPARG,-
ESR1,PTGS1,+
ESR1,RARA,+
ESR1,RUNX2,?
ESR1,SERPINE1,+
ESR1,SLC7A1,?
ESR1,SP1,?
ESR1,TH,+
ESR1,TP53,-
ESR1,TYMS,?
ESR1,UGT2A1,+
ESR1,YWHAB,?
ESR1,ZEB1,+
ESRRG,ATE1,?
ESRRG,ATP6V1C1A,?
ESRRG,BCAS2,?
ESRRG,KAG9268598.1,?
ESRRG,NR0B1,+
ESRRG,RCAN1,?
ESRRG,SLC12A2,?
ESRRG,SLC7A4,?
ETS2,ADAM10,?
ETS2,ADD1,?
ETS2,ANGPT2,+
ETS2,ANPEP,+
ETS2,B4GALT7,?
ETS2,BLMH,?
ETS2,CDH5,?
ETS2,CELSR2,?
ETS2,CSF3R,+
ETS2,CSK,?
ETS2,DAAM2,?
ETS2,DMD,?
ETS2,ERBB4,?
ETS2,EPB41,?
ETS2,ETS2,?
ETS2,ETV6,?
ETS2,EXOC8,?
