,Source,Target,Interaction
727,CIITA,PSMC5,+
728,CIITA,RAB4B,?
729,CIITA,SIRT1,-
730,CIITA,SLC26A3.1,?
731,CIITA,SLC26A3.1,?
732,CITED2,CEBPA,+
733,CITED2,LDHBB,+
734,CITED2,LDHBB,+
735,CITED2,LDHD,+
736,CITED2,MMP13B,-
737,CITED2,MMP9,+
738,CITED2,PDK2A,+
739,CITED2,PPARG,+
740,CITED2,SMAD3B,+
741,CITED2,SMAD3B,+
742,CITED2,WNT4,+
743,CLOCKA,BHLHE40,+
744,CLOCKA,BHLHE41,+
745,CLOCKA,CRY1A,+
746,CLOCKA,CRY1A,+
747,CLOCKA,CRY2,+
748,CLOCKA,CRY1A,+
749,CLOCKA,KAT5B,?
750,CLOCKA,NAMPT1,+
751,CLOCKA,NR0B2A,+
752,CLOCKA,PER1B,+
753,CLOCKA,PER2,+
754,CLOCKA,PER3,+
755,CLOCKA,SERPINE1,+
756,CLOCKA,SERPINE2,+
757,CLOCKA,STAR,+
758,CLOCKA,THBD,?
759,CLOCKA,TPO,?
760,CLOCKA,VWF,?
761,CNOT8,PMP22B,?
762,COPS5,CDKN1BB,-
763,CRABP2A,RARAB,+
764,CREB1B,ACACA,+
765,CREB1B,ACSL4A,?
766,CREB1B,BCL2B,+
767,CREB1B,BCL2B,+
768,CREB1B,BCL2L11,?
769,CREB1B,BDKRB1,?
770,CREB1B,BDNF,+
771,CREB1B,CASP8,+
772,CREB1B,CCKB,?
773,CREB1B,LOC103038449,+
774,CREB1B,CFTR,?
775,CREB1B,CGA,?
776,CREB1B,CLDN11B,?
777,CREB1B,CLDN11B,?
778,CREB1B,CRTC1B,?
779,CREB1B,CXCR4B,?
780,CREB1B,ENTPD1,+
781,CREB1B,ERBB2,?
782,CREB1B,ESR1,?
783,CREB1B,FLT1,?
784,CREB1B,FOSAB,?
785,CREB1B,FOXA1,?
786,CREB1B,GABPA,?
787,CREB1B,GRPR,+
788,CREB1B,GSK3AB,?
789,CREB1B,GSK3AB,?
790,CREB1B,HSPA5,+
791,CREB1B,IL10,+
792,CREB1B,JUND,-
793,CREB1B,LAPTM4B,?
794,CREB1B,LDHA,?
795,CREB1B,LOC103021835,?
796,CREB1B,LOC103023525,?
797,CREB1B,LOC103025837,?
798,CREB1B,LOC103026652,?
799,CREB1B,LOC103031022,?
800,CREB1B,LOC103032848,?
801,CREB1B,LOC103034286,?
802,CREB1B,LOC103036160,?
803,CREB1B,LOC103038449,+
804,CREB1B,PPP2R2D,+
805,CREB1B,LOC103039568,?
806,CREB1B,PRL2,?
807,CREB1B,MC2R,+
808,CREB1B,MIF,+
809,CREB1B,MITFB,+
810,CREB1B,MMP2,?
811,CREB1B,NDC80,+
812,CREB1B,NF1A,?
813,CREB1B,NF1A,?
814,CREB1B,NMNAT2,?
815,CREB1B,NOCTA,+
816,CREB1B,NPY,?
817,CREB1B,NR2F1A,-
818,CREB1B,NR2F6B,-
819,CREB1B,NR4A3,?
820,CREB1B,NR5A1A,+
821,CREB1B,NRF1,?
822,CREB1B,NTS,?
823,CREB1B,ODC1,?
824,CREB1B,PCSK1,+
825,CREB1B,PDE3B,?
