Source,Target,Interaction
CDX1B,DSC2L,?
CDX1B,IRF2BP2B,?
CDX1B,LOC103034133,?
CDX1B,PCNA,+
CDX1B,PPARG,+
CDX1B,PTGS2B,+
CEBPA,BCL2B,-
CEBPA,BCL2B,-
CEBPA,CRABP2A,-
CEBPA,CRMP1,?
CEBPA,CSF3R,+
CEBPA,CXCR2,?
CEBPA,F9B,+
CEBPA,GAPDH,?
CEBPA,HSPA4B,+
CEBPA,ID1,?
CEBPA,IGF1,+
CEBPA,IGF2B,?
CEBPA,IGF2B,?
CEBPA,IL10,?
CEBPA,INSRA,+
CEBPA,INSRA,+
CEBPA,LOC107197102,?
CEBPA,SLC10A1,?
CEBPA,PRL2,?
CEBPA,LOC103046566,+
CEBPA,LOC103047016,+
CEBPA,LOC125801097,?
CEBPA,LOC125801097,?
CEBPA,LOC125801097,?
CEBPA,MAD1L1,?
CEBPA,MSTNB,?
CEBPA,MYCB,-
CEBPA,MYCB,-
CEBPA,NFKB1,+
CEBPA,NR1H3,?
CEBPA,PCK1,+
CEBPA,PCK2,?
CEBPA,PRL2,?
CEBPA,PTGS2B,+
CEBPA,SERPINC1,+
CEBPA,SLC10A1,?
CEBPA,SOCS3A,+
CEBPA,SOCS3A,+
CEBPA,SPI1B,?
CEBPA,STAR,+
CEBPA,STAT3,?
CEBPA,TLR9,?
CEBPA,VLDLR,?
CEBPA,ZBTB16A,?
CEBPD,CASP8,?
CEBPD,CCL20A.3,+
CEBPD,LOC103038449,-
CEBPD,LOC125782414,?
CEBPD,GAPDH,?
CEBPD,LOC103038449,-
CEBPD,PRL2,?
CEBPD,LOC103045627,?
CEBPD,PDGFRA,?
CEBPD,PPARG,+
CEBPD,PRL2,?
CEBPD,PTGS2B,?
CEBPD,SOD1,+
CEBPD,TNFA,?
CEBPD,TNFA,?
CEBPG,CEBPA,-
CEBPG,HBBA2,?
CEBPZ,APC,+
CEBPZ,COL11A1A,-
CEBPZ,LOC103029423,?
CEBPZ,LOC103029423,?
CEBPZ,LOC103039568,?
CEBPZ,LOC103029423,?
CEBPZ,MLH1,-
CERS5,ATP6V1C1A,?
CERS5,ATP6V1C1A,?
CERS5,LOC103046784,?
CERS5,GNB1A,?
CERS5,GNB1A,?
CERS5,GNB1A,?
CERS5,MIB1,?
CERS5,PAFAH1B1B,?
CERS5,PAFAH1B1B,?
CERS5,WNT7AA,?
CERS5,WNT7AA,?
CERS5,WNT7AA,?
CERS5,ATP6V1C1A,?
CERS5,ATP6V1C1A,?
CERS5,LOC103046784,?
CERS5,GNB1A,?
CERS5,GNB1A,?
CERS5,GNB1A,?
CERS5,MIB1,?
CERS5,PAFAH1B1B,?
CERS5,PAFAH1B1B,?
CERS5,WNT7AA,?
CERS5,WNT7AA,?
CERS5,WNT7AA,?
CERS5,ATP6V1C1A,?
CERS5,ATP6V1C1A,?
CERS5,LOC103046784,?
CERS5,GNB1A,?
CERS5,GNB1A,?
CERS5,GNB1A,?
CERS5,MIB1,?
CERS5,PAFAH1B1B,?
CERS5,PAFAH1B1B,?
