Source,Target,Interaction
AOP,GLI,?
AOP,GLYP,?
AOP,GPP,?
AOP,GRH,?
AOP,GUKH,?
AOP,HBS,?
AOP,HEPH,?
AOP,HEP,?
AOP,HH,?
AOP,HIL,?
AOP,HIPK,?
AOP,HLHM7,?
AOP,HLHMGAMMA,?
AOP,HNF4,?
AOP,HTS,?
AOP,IMPL2,?
AOP,INAE,?
AOP,KDM4B,?
AOP,KEK5,?
AOP,KIRRE,?
AOP,KLAR,?
AOP,KLP98A,?
AOP,KLU,?
AOP,KO,?
AOP,KST,?
AOP,KUZ,?
AOP,LACK,?
AOP,LASP,?
AOP,LOCO,?
AOP,LPR2,?
AOP,LUNA,?
AOP,M4,?
AOP,MAM,?
AOP,MAS,?
AOP,MBL,?
AOP,MBS,?
AOP,MCM5,?
AOP,MELT,?
AOP,MLD,?
AOP,MMP2,?
AOP,MMY,?
AOP,MNB,?
AOP,MOB2,?
AOP,MTF-1,?
AOP,MURA,?
AOP,MYPT-75D,?
AOP,NEP4,?
AOP,NEUR,?
AOP,N,?
AOP,NKD,?
AOP,NRG,?
AOP,NRX-IV,?
AOP,NT1,?
AOP,NUF,?
AOP,NUMB,?
AOP,OATP30B,?
AOP,OBP56A,?
AOP,OGRE,?
AOP,ORB2,?
AOP,OSP,?
AOP,PAR-1,?
AOP,PDE11,?
AOP,PDE8,?
AOP,PEB,?
AOP,PIF1A,?
AOP,PK,?
AOP,PKN,?
AOP,PLI,?
AOP,PNT,?
AOP,POXN,?
AOP,PROSAP,?
AOP,PSC,?
AOP,PUM,?
AOP,PWN,?
AOP,PX,?
AOP,PYD,?
AOP,RAPGAP1,?
AOP,RAW,?
AOP,RDO,?
AOP,RDX,?
AOP,RETN,?
AOP,RGN,?
AOP,RHOGAP19D,?
AOP,RHOGAP71E,?
AOP,RHOGAP93B,?
AOP,RIP11,?
AOP,ROLS,?
AOP,RST,?
AOP,SANO,?
AOP,SBA,?
AOP,SBB,?
AOP,SCA,?
AOP,SCNY,?
AOP,SCRIB,?
AOP,SCRT,?
AOP,SDC,?
AOP,SDK,?
AOP,SDT,?
AOP,SEC16,?
AOP,SEMA-1B,?
AOP,SEMA-5C,?
AOP,SEQ,?
AOP,S,?
AOP,SHN,?
AOP,SHROOM,?
AOP,SIMA,?
AOP,SIMJ,?
AOP,SIZ,?
AOP,SKD,?
AOP,SKIP,?
AOP,SLIM,?
AOP,SLS,?
AOP,SMI35A,?
AOP,SMR,?
AOP,SPEN,?
AOP,SPRI,?
AOP,SQZ,?
AOP,SRC42A,?
AOP,SSADH,?
AOP,STAN,?
AOP,SULF1,?
AOP,SU(TPL),?
AOP,T48,?
AOP,TANGO9,?
AOP,TEY,?
AOP,THS,?
AOP,TIS11,?
AOP,TMHS,?
AOP,TMOD,?
AOP,TOC,?
AOP,TRAF4,?
AOP,TRX,?
AOP,TSP66E,?
AOP,TTK,?
AOP,TUTL,?
AOP,TYN,?
AOP,VARI,?
AOP,VERM,?
AOP,VVL,?
AOP,WECH,?
AOP,WND,?
AOP,X11LBETA,?
AP-2,AP-2,?
AP-2,AWH,?
AP-2,BAB2,?
AP-2,CG10440,?
AP-2,CG3964,?
AP-2,DISCO-R,?
AP-2,DLL,?
AP-2,DPR16,?
AP-2,GSB,?
AP-2,GSB-N,?
AP-2,H15,?
AP-2,LBL,?
AP-2,LIM1,?
AP-2,MID,?
AP-2,ODD,?
AP-2,SLP2,?
AP-2,SOX21B,?
AP-2,SP1,?
AP-2,TUP,?
AP-2,UNC-4,?
ARA,SLP1,?
ASE,ACJ6,?
ASE,ALSTR,?
ASE,APT,?
ASE,ARET,?
ASE,ARU,?
ASE,ASPP,?
ASE,BAB1,?
ASE,BEAT-IIA,?
ASE,BEAT-VI,?
ASE,BOI,?
ASE,BOWL,?
ASE,BRU-3,?
ASE,BTSZ,?
ASE,CAD74A,?
ASE,CAN,?
ASE,CAPU,?
ASE,CG10249,?
ASE,CG11030,?
ASE,CG11294,?
ASE,CG11313,?
ASE,CG12075,?
ASE,CG12206,?
ASE,CG12484,?
ASE,CG13287,?
ASE,CG14509,?
ASE,CG15028,?
ASE,CG1621,?
ASE,CG1632,?
ASE,CG1688,?
ASE,CG30116,?
ASE,CG31121,?
ASE,CG31191,?
ASE,CG31195,?
ASE,CG31369,?
ASE,CG31769,?
ASE,CG32556,?
ASE,CG33291,?
ASE,CG34038,?
ASE,CG34351,?
ASE,CG34353,?
ASE,CG34370,?
ASE,CG4221,?
ASE,CG42509,?
ASE,CG42613,?
ASE,CG42796,?
ASE,CG43163,?
ASE,CG43164,?
ASE,CG6040,?
ASE,CG6520,?
ASE,CG7724,?
ASE,CG7896,?
ASE,CG7918,?
ASE,CG8160,?
ASE,CG8170,?
ASE,CG8740,?
ASE,CG9634,?
ASE,CG9782,?
ASE,CHA,?
ASE,CON,?
ASE,CRB,?
ASE,DEBCL,?
ASE,D,?
ASE,DMRT99B,?
ASE,DOPR2,?
ASE,DPP,?
ASE,DPR13,?
ASE,DPR4,?
ASE,DPR6,?
ASE,DUOX,?
ASE,EGFR,?
ASE,EGL,?
ASE,ETS65A,?
ASE,EXN,?
ASE,FD59A,?
ASE,FEND,?
ASE,FER2,?
ASE,FJ,?
ASE,FUS,?
ASE,FZ4,?
ASE,GAD1,?
ASE,GLUCLALPHA,?
ASE,GLU-RIB,?
ASE,GLU-RI,?
ASE,GP150,?
ASE,GRH,?
ASE,GSC,?
ASE,HBN,?
ASE,HH,?
ASE,JBUG,?
ASE,LQFR,?
ASE,MAGU,?
ASE,MUN,?
ASE,MYO10A,?
ASE,NACRALPHA-34E,?
ASE,NACRALPHA-7E,?
ASE,NACRALPHA-96AA,?
ASE,NAHODA,?
ASE,NCKX30C,?
ASE,NEC,?
ASE,NERFIN-2,?
ASE,NETB,?
ASE,OAZ,?
ASE,OSEG4,?
ASE,PIO,?
ASE,PKD,?
ASE,PROS,?
ASE,PTC,?
ASE,PWN,?
ASE,RAB23,?
ASE,RUNXA,?
ASE,RUNXB,?
ASE,SEMA-5C,?
ASE,SIF,?
ASE,SIX4,?
ASE,SNPF-R,?
ASE,T48,?
ASE,TJ,?
ASE,TOE,?
ASE,UIF,?
ASE,VACHT,?
ASE,WNT10,?
ASE,ZASP52,?
ATF3,AATS-ALA,?
ATF3,AATS-HIS,?
ATF3,ATF3,?
ATF3,ATG6,?
ATF3,BAP,?
ATF3,BETA4GALT7,?
ATF3,BIP1,?
ATF3,BUN,?
ATF3,CAP,?
ATF3,CCT5,?
ATF3,CG10031,?
ATF3,CG10600,?
ATF3,CG10616,?
ATF3,CG11137,?
ATF3,CG1140,?
ATF3,CG11652,?
ATF3,CG11980,?
ATF3,CG12948,?
ATF3,CG13067,?
ATF3,CG13315,?
ATF3,CG13624,?
ATF3,CG15279,?
ATF3,CG16700,?
ATF3,CG17107,?
ATF3,CG17259,?
ATF3,CG17271,?
ATF3,CG17544,?
ATF3,CG17738,?
ATF3,CG2116,?
ATF3,CG30015,?
ATF3,CG30069,?
ATF3,CG30291,?
ATF3,CG30497,?
ATF3,CG31475,?
ATF3,CG31808,?
ATF3,CG32365,?
ATF3,CG32676,?
ATF3,CG3287,?
ATF3,CG33144,?
ATF3,CG3823,?
ATF3,CG3838,?
ATF3,CG4199,?
ATF3,CG42669,?
ATF3,CG42671,?
ATF3,CG43143,?
ATF3,CG4598,?
ATF3,CG4769,?
ATF3,CG4998,?
ATF3,CG5004,?
ATF3,CG5131,?
ATF3,CG5567,?
ATF3,CG5639,?
ATF3,CG5885,?
ATF3,CG6023,?
ATF3,CG6108,?
ATF3,CG6191,?
ATF3,CG6359,?
ATF3,CG6490,?
ATF3,CG7048,?
ATF3,CG7830,?
ATF3,CG7841,?
ATF3,CG7884,?
ATF3,CG8031,?
ATF3,CG8547,?
ATF3,CG8605,?
ATF3,CG9007,?
ATF3,CG9095,?
ATF3,CG9194,?
ATF3,CG9297,?
ATF3,CG9522,?
ATF3,CG9619,?
ATF3,CG9628,?
ATF3,CG9932,?
ATF3,CHES-1-LIKE,?
ATF3,CHN,?
ATF3,CPR67B,?
ATF3,CRY,?
ATF3,DESAT1,?
ATF3,DPPIII,?
ATF3,ECR,?
ATF3,ECT4,?
ATF3,EIF-2BETA,?
ATF3,ESYT2,?
ATF3,FKBP13,?
ATF3,FTZ-F1,?
ATF3,HR38,?
ATF3,INE,?
ATF3,JUMU,?
ATF3,KR-H2,?
ATF3,LAMC,?
ATF3,LCP65AD,?
ATF3,MEF2,?
ATF3,MGE,?
ATF3,MIPP1,?
ATF3,MOL,?
ATF3,MRPL14,?
ATF3,MRPS35,?
ATF3,MYO31DF,?
ATF3,NC,?
ATF3,NOT,?
ATF3,NOX,?
ATF3,OSP,?
ATF3,P58IPK,?
ATF3,PAR-1,?
ATF3,PFRX,?
ATF3,POMP,?
ATF3,PORIN,?
ATF3,RAPGAP1,?
ATF3,RPL6,?
ATF3,SDA,?
ATF3,SDT,?
ATF3,SEC61ALPHA,?
ATF3,SEC61GAMMA,?
ATF3,SHN,?
ATF3,SMP-30,?
ATF3,SNF4AGAMMA,?
ATF3,SOCS36E,?
ATF3,SP1173,?
ATF3,SP7,?
ATF3,SU(H),?
ATF3,SU(VAR)3-9,?
ATF3,TAPDELTA,?
ATF3,T-CP1,?
ATF3,TER94,?
ATF3,TKO,?
ATF3,TXL,?
ATF3,UBPY,?
ATF3,VERM,?
ATF3,VFL,?
ATF3,WDN,?
ATF3,WECH,?
ATO,A,?
ATO,CG10440,?
ATO,CG11983,?
ATO,CG13905,?
ATO,CG2556,?
ATO,CG32635,?
ATO,CG34244,?
ATO,CG42749,?
ATO,CG7080,?
ATO,CG7906,?
ATO,CG8172,?
ATO,CG8568,?
ATO,CRALBP,?
ATO,CTPSYN,?
ATO,DFD,?
ATO,GSB,?
ATO,H15,?
